DATE	HP	L	PM	M
"1881-01-01"	190	451	392	1397
"1882-01-01"	222	567	463	1346
"1883-01-01"	267	692	526	1314
"1884-01-01"	276	844	497	1257
"1885-01-01"	297	949	550	1195
"1886-01-01"	314	1045	586	1237
"1887-01-01"	292	1099	650	1218
"1888-01-01"	260	1080	672	1245
"1889-01-01"	214	1215	777	1265
"1890-01-01"	211	1288	794	1180
"1891-01-01"	238	1388	674	1096
"1892-01-01"	235	1453	656	1103
"1893-01-01"	258	1569	684	1182
"1894-01-01"	266	1530	826	1284
"1895-01-01"	251	1587	929	1380
"1896-01-01"	217	1578	1022	1389
"1897-01-01"	215	1741	1138	1324
"1898-01-01"	223	1733	1167	1284
"1899-01-01"	268	1523	1086	1148
"1900-01-01"	315	1680	1093	1140
"1901-01-01"	363	1673	1208	1100

# Imperial Moscow University students, by faculty
# Collected by Eugenia Ivanova from the yearly Ministry of Education reports;
# DATE : reporting date;
# HP : Faculty for History and Philology;
# L : Faculty of Law;
# PM : Faculty for Physics and Mathematics;
# M : Faculty of Medicine;
