"YEAR"	"TOT"	"PP"	"KR"
1665	1	1	0
1666	1	1	0
1667	1	1	0
1668	1	1	0
1669	1	1	0
1670	1	1	0
1671	0	0	0
1672	0	0	0
1673	0	0	0
1674	0	0	0
1675	0	0	0
1676	0	0	0
1677	0	0	0
1678	0	0	0
1679	0	0	0
1680	0	0	0
1681	0	0	0
1682	1	1	0
1683	2	2	0
1684	2	2	0
1685	2	2	0
1686	2	2	0
1687	3	3	0
1688	4	4	0
1689	4	4	0
1690	4	4	0
1691	3	3	0
1692	3	3	0
1693	4	4	0
1694	3	3	0
1695	3	3	0
1696	3	3	0
1697	3	3	0
1698	3	3	0
1699	3	3	0
1700	5	5	0
1701	5	5	0
1702	5	5	0
1703	5	5	0
1704	4	4	0
1705	4	4	0
1706	5	5	0
1707	5	5	0
1708	4	4	0
1709	3	3	0
1710	2	2	0
1711	2	2	0
1712	3	3	0
1713	5	5	0
1714	8	8	0
1715	8	8	0
1716	8	8	0
1717	7	7	0
1718	8	8	0
1719	7	7	0
1720	6	6	0
1721	9	9	0
1722	9	9	0
1723	9	9	0
1724	9	9	0
1725	11	11	0
1726	6	6	0
1727	4	4	0
1728	6	6	0
1729	5	5	0
1730	4	4	0
1731	5	5	0
1732	5	5	0
1733	4	4	0
1734	4	4	0
1735	5	5	0
1736	5	5	0
1737	7	7	0
1738	7	7	0
1739	7	7	0
1740	7	7	0
1741	9	9	0
1742	9	9	0
1743	9	9	0
1744	8	8	0
1745	11	11	0
1746	12	12	0
1747	12	12	0
1748	11	11	0
1749	9	9	0
1750	11	11	0
1751	9	9	0
1752	10	10	0
1753	10	10	0
1754	14	14	0
1755	13	13	0
1756	11	11	0
1757	9	9	0
1758	8	8	0
1759	10	10	0
1760	10	10	0
1761	9	9	0
1762	9	9	0
1763	7	7	0
1764	9	9	0
1765	9	9	0
1766	9	9	0
1767	11	11	0
1768	9	9	0
1769	8	8	1
1770	5	5	1
1771	5	5	2
1772	7	7	2
1773	6	6	1
1774	10	9	2
1775	12	10	3
1776	12	11	1
1777	12	11	1
1778	12	12	1
1779	13	13	1
1780	12	12	1
1781	13	13	2
1782	12	12	1
1783	19	19	4
1784	20	20	4
1785	28	28	6
1786	33	33	5
1787	29	29	5
1788	28	28	5
1789	25	25	10
1790	23	23	8
1791	22	22	8
1792	18	18	7
1793	19	18	10
1794	19	18	10
1795	18	17	9
1796	18	17	7
1797	21	20	7
1798	21	19	6
1799	24	21	8
1800	16	14	4
1801	15	14	4
1802	18	17	4
1803	17	16	4
1804	12	11	1
1805	13	12	1
1806	9	8	0
1807	8	7	0
1808	9	8	0
1809	8	7	1
1810	9	8	1
1811	5	4	1
1812	4	3	1
1813	3	3	0
1814	3	3	0
1815	2	2	0
1816	3	3	0
1817	5	5	0
1818	7	7	1
1819	6	6	1
1820	8	8	1
1821	8	8	0
1822	5	5	0
1823	4	4	0
1824	3	3	0
1825	3	3	0
1826	3	3	0
1827	5	5	0
1828	5	5	0
1829	7	6	2
1830	7	5	2
1831	5	4	2
1832	8	7	4
1833	5	4	3
1834	7	6	4
1835	6	5	2
1836	6	6	1
1837	8	8	2
1838	6	6	2
1839	7	6	4
1840	7	7	3
1841	6	6	2
1842	7	6	2
1843	10	9	2
1844	8	6	2
1845	7	5	2
1846	8	6	3
1847	8	5	3
1848	8	4	3
1849	5	2	2
1850	6	3	2
1851	7	4	4
1852	6	3	3
1853	6	3	3
1854	4	2	1
1855	3	1	1
1856	3	1	1
1857	3	1	1
1858	4	3	2
1859	4	3	3
1860	7	6	4
1861	8	7	5
1862	8	7	5
1863	8	7	5
1864	7	6	4
1865	8	7	5
1866	9	7	6
1867	7	5	4
1868	7	6	4
1869	8	7	4
1870	8	7	4
1871	10	8	5
1872	11	8	6
1873	10	7	6
1874	11	7	6
1875	13	9	7
1876	10	6	6
1877	13	9	8
1878	14	9	9
1879	14	9	9
1880	13	9	8
1881	15	10	10
1882	15	10	10
1883	17	10	12
1884	17	10	11
1885	19	10	13
1886	20	11	13
1887	19	11	12
1888	24	13	14
1889	26	14	15
1890	28	15	17
1891	30	14	19
1892	37	16	25
1893	41	16	30
1894	40	17	29
1895	42	18	30
1896	47	18	35
1897	53	20	41
1898	54	19	42
1899	59	20	46
1900	60	19	48
1901	56	19	43
1902	55	21	39
1903	56	24	36
1904	57	26	35
1905	58	28	34
1906	60	31	33
1907	61	33	31
1908	62	34	31
1909	63	36	30
1910	66	40	29
1911	65	39	29
1912	68	42	29
1913	69	44	27
1914	72	48	25
1915	68	44	24
1916	62	40	22
1917	61	39	22
1918	63	43	20
1919	63	46	18
1920	67	50	17
1921	66	52	14
1922	64	52	14
1923	69	58	12
1924	71	60	12
1925	73	64	10
1926	76	66	11
1927	74	65	10
1928	70	61	10
1929	70	63	9
1930	69	62	9
1931	62	56	7
1932	62	55	6
1933	56	51	5
1934	53	49	5
1935	50	47	4
1936	51	48	4
1937	46	44	4
1938	44	42	4
1939	43	41	4
1940	40	38	4
1941	40	38	4
1942	35	33	3
1943	34	32	3
1944	32	30	3
1945	27	26	1
1946	36	35	1
1947	43	42	1
1948	48	47	1
1949	52	51	1
1950	48	47	1
1951	58	57	1
1952	62	61	1
1953	60	59	1
1954	59	58	1
1955	63	62	1
1956	57	56	1
1957	58	57	1
1958	57	56	1
1959	59	58	1
1960	61	60	1
1961	65	64	1
1962	66	65	1
1963	65	64	1
1964	64	63	1
1965	65	64	1
1966	62	61	1
1967	63	62	1
1968	65	64	1
1969	67	66	1
1970	67	66	1
