"HEIGHT","MASS","SEX","SMOKING","SMOKING.AGE","MATH","GROUP","DEPARTMENT"
176,55,"f",1,"NA","NA",12,1
171,70,"f",2,"NA","NA",12,1
175,60,"m",2,"NA","NA",12,1
164,52,"f",0,"NA","NA",12,1
162,54,"f",2,"NA","NA",12,1
160,53.9,"f",2,"NA","NA",12,1
172,62,"f",2,"NA","NA",12,1
156,53,"f",1,"NA","NA",12,1
170,60,"f",2,"NA","NA",12,1
178,63,"f",1,"NA","NA",12,1
178,63,"m",2,"NA","NA",12,1
171,82,"f",1,"NA","NA",12,1
166,54,"f",2,"NA","NA",12,1
"NA","NA","NA",0,"NA","NA",12,1
173,60,"f",3,"NA","NA",12,1
180,75,"m",0,"NA","NA",12,1
185,73,"m",4,"NA","NA",12,1
174,63,"m",1,"NA","NA",12,1
159,60,"f",0,"NA","NA",12,1
"NA","NA","NA",3,"NA","NA",12,1
175,64,"m",0,"NA","NA",12,1
168,52,"f",3,"NA","NA",12,1
166,53,"f",1,"NA","NA",12,1
170,53,"f",0,"NA","NA",12,1
162,47,"f",3,"NA","NA",12,1
173,56,"m",4,"NA","NA",13,1
167,62,"f",1,"NA","NA",13,1
180,67,"m",2,"NA","NA",13,1
162,60,"f",1,"NA","NA",13,1
170,67,"f",1,"NA","NA",13,1
179,65,"m",0,"NA","NA",13,1
188,72,"m",2,"NA","NA",13,1
183,67,"m",1,"NA","NA",13,1
163,54,"f",1,"NA","NA",13,1
170,65,"f",1,"NA","NA",13,1
174,60,"f",3,"NA","NA",13,1
167,58,"f",1,"NA","NA",13,1
163,46,"f",0,"NA","NA",13,1
174,72,"f",1,"NA","NA",13,1
168,70,"f",0,"NA","NA",13,1
187,64,"m",1,"NA","NA",13,1
187,87,"m",2,"NA","NA",13,1
165,60,"f",2,"NA","NA",13,1
163,53,"f",1,"NA","NA",13,1
183,64.6,"m",4,"NA","NA",13,1
180,56,"f",2,"NA","NA",13,1
162,51.7,"f",0,"NA","NA",21,1
172,60,"f",0,"NA","NA",21,1
169,66,"f",2,"NA","NA",21,1
166,52.5,"f",0,"NA","NA",21,1
163,48,"f",0,"NA","NA",21,1
164,59,"f",0,"NA","NA",21,1
164,49,"f",0,"NA","NA",21,1
168,65,"f",0,"NA","NA",21,1
192,65.5,"m",1,"NA","NA",21,1
177,63,"f",2,"NA","NA",21,1
183,70,"m",2,"NA","NA",21,1
191,85,"m",1,"NA","NA",21,1
186,76,"m",2,"NA","NA",21,1
170,52,"f",0,"NA","NA",21,1
170,63,"f",1,"NA","NA",21,1
178,72,"f",3,"NA","NA",21,1
165,57,"f",0,"NA","NA",21,1
167,50.3,"f",0,"NA","NA",21,1
168,47,"f",1,"NA","NA",21,1
171,69,"f",0,"NA","NA",21,1
160,50.3,"f",0,"NA","NA",21,1
173,65.5,"f",2,"NA","NA",21,1
171,52.3,"f",3,"NA","NA",21,1
167,59,"f",2,"NA","NA",21,1
161,51,"f",1,"NA","NA",21,1
159,55,"f",3,"NA","NA",22,1
160,59,"f",0,"NA","NA",22,1
180,77,"m",0,"NA","NA",22,1
159,77,"f",1,"NA","NA",22,1
174,75,"m",1,"NA","NA",22,1
170,65,"f",2,"NA","NA",22,1
181,73,"m",2,"NA","NA",22,1
179,62,"f",0,"NA","NA",22,1
173,57,"f",0,"NA","NA",22,1
170,52,"f",0,"NA","NA",22,1
178,50,"f",2,"NA","NA",22,1
180,68,"m",0,"NA","NA",22,1
178,76,"m",2,"NA","NA",22,1
170,53,"f",3,"NA","NA",22,1
165,51,"f",0,"NA","NA",22,1
170,58,"f",0,"NA","NA",22,1
162,55,"f",0,"NA","NA",22,1
166,57,"f",1,"NA","NA",22,1
162,53,"f",2,"NA","NA",22,1
163,49,"f",0,"NA","NA",22,1
178,72,"m",2,"NA","NA",23,1
178,60,"f",1,"NA","NA",23,1
174,56,"f",0,"NA","NA",23,1
183,83,"m",1,"NA","NA",23,1
170,62,"f",1,"NA","NA",23,1
176,64,"m",2,"NA","NA",23,1
183,60,"m",0,"NA","NA",23,1
158,54,"m",2,"NA","NA",23,1
166,57,"f",1,"NA","NA",23,1
178,77,"m",1,"NA","NA",23,1
173,62,"m",0,"NA","NA",23,1
176,55,"f",2,"NA","NA",23,1
180,59,"f",1,"NA","NA",23,1
174,55,"f",0,"NA","NA",23,1
182,57,"m",3,"NA","NA",23,1
192,69,"m",1,"NA","NA",23,1
165,55,"f",2,"NA","NA",23,1
157,48,"f",2,"NA","NA",23,1
186,72,"m",1,"NA","NA",23,1
169,52,"f",2,"NA","NA",23,1
163,46,"f",1,"NA","NA",23,1
161,60,"f",2,"NA","NA",23,1
171,67,"f",1,"NA","NA",23,1
175,67,"f",0,"NA","NA",24,1
165,53,"f",0,"NA","NA",24,1
168,53,"f",1,"NA","NA",24,1
165,56,"f",2,"NA","NA",24,1
160,47,"f",0,"NA","NA",24,1
187,90,"m",3,"NA","NA",24,1
170,49,"f",2,"NA","NA",24,1
183,69,"m",0,"NA","NA",24,1
165,56,"f",2,"NA","NA",24,1
160,40,"f",0,"NA","NA",24,1
170,58,"f",0,"NA","NA",24,1
170,76,"f",2,"NA","NA",24,1
172,48,"f",0,"NA","NA",24,1
187,85,"m",2,"NA","NA",24,1
148,50.5,"f",2,"NA","NA",24,1
165,58,"f",0,"NA","NA",24,1
169.5,61.5,"f",3,"NA","NA",24,1
173,65,"f",2,"NA","NA",24,1
175,76,"m",4,"NA","NA",24,1
174,56,"f",2,"NA","NA",24,1
183,75,"m",0,"NA","NA",24,1
174,64,"f",2,"NA","NA",24,1
178,69,"m",1,"NA","NA",24,1
183,84,"m",4,"NA","NA",24,1
174,70,"f",3,"NA","NA",24,1
178,69,"m",2,"NA","NA",24,1
157,58,"f",1,"NA","NA",11,1
164,57,"f",2,"NA","NA",11,1
170,53.5,"f",2,"NA","NA",11,1
185,64,"m",2,"NA","NA",11,1
164,52,"f",1,"NA","NA",11,1
165,52,"f",0,"NA","NA",11,1
176.4,70.2,"m",3,"NA","NA",11,1
175,76,"m",3,"NA","NA",11,1
163,53,"f",1,"NA","NA",11,1
168,53,"f",2,"NA","NA",11,1
169,51,"f",2,"NA","NA",11,1
165,50,"f",0,"NA","NA",11,1
160,49,"f",2,"NA","NA",11,1
167,52,"f",2,"NA","NA",11,1
171,67,"m",0,"NA","NA",11,1
165,52,"f",2,"NA","NA",11,1
157,48,"f",1,"NA","NA",11,1
186,61,"m",1,"NA","NA",11,1
173.5,70,"f",2,"NA","NA",11,1
163,48,"f",2,"NA","NA",11,1
175,68,"f",1,"NA","NA",11,1
165,58,"f",1,"NA","NA",11,1
180,63,"m",2,18,63,"NA",2
178,65,"f",4,"NA",64,"NA",2
167,63.4,"f",4,15,78,"NA",2
170,50,"f",0,"NA",75,"NA",2
172,58,"f",2,14,68,"NA",2
188,98,"m",2,18,63,"NA",2
168,55,"f",2,16,52,"NA",2
173,58,"f",2,18,65,1,2
177,63,"m",1,13,75,1,2
166,60,"f",1,15,"NA",1,2
175,56,"f",2,"NA",73,1,2
170,66,"f",2,14,52,1,2
163,60,"f",1,13,70,1,2
